ID,Work Item Type,Title 1,Title 2,Title 3,State,Priority,Start Date,Target Date,Tags,Description
,Epic,2026 Performans Döngüsü Açılışı ve Kurumsal Hedefler,,,New,2,2026-02-01,2027-02-01,PY 2026,<p>Yeni performans döngüsünün sistemde açılması ve Strateji'den gelen kurumsal hedeflerin sisteme alınması.</p>
,User Story,,2026 performans döngüsü sistemde açılsın,,New,2,,,PY 2026; Genel Müdürlük; Sistem / İK,<p>Kaynak: &quot;2026 Performans Döngüsü Açılışı&quot;.</p><p><b>Planlanan tarih:</b> 01.02.2026 – 01.02.2027</p>
,Task,,,Sistem parametrelerinin kontrol edilmesi,New,2,,,PY 2026; Genel Müdürlük,
,Task,,,Parametre girişi ile ekranların yeni döngüye hazır hale getirilmesi (İsmail Bey ile),New,2,,,PY 2026; Genel Müdürlük,
,Task,,,Ekip içinde portföy dağılımının yapılması,New,2,,,PY 2026; Genel Müdürlük,
,User Story,,Strateji'den gelen hedefler sisteme alınsın,,New,2,,,PY 2026; Genel Müdürlük; Sistem / İK,<p>Kaynak: &quot;Strateji Tarafından Hedeflerin Alınması&quot;.</p><p><b>Planlanan tarih:</b> 17.02.2026</p>
,Task,,,Excel hazırlığının yapılması,New,2,,,PY 2026; Genel Müdürlük,
,Task,,,Yolculuğum'a scriptin girilmesi için BT'ye iletilmesi,New,2,,,PY 2026; Genel Müdürlük,
,Task,,,Grup Müdürlerinin BAK ve SHY karnelerinin alınması,New,2,,,PY 2026; Genel Müdürlük,
,Task,,,HİZA sistemine eklenmesi,New,2,,,PY 2026; Genel Müdürlük,
,Epic,Yetkinlik Seçim Süreci,,,New,2,2026-02-16,2026-03-09,PY 2026,"<p>Çalışanların 2026 yetkinliklerini seçmesi, sürecin takibi ve mutabakata alınması. Kaynak: &quot;Yetkinlik Seçimleri&quot; (16.02 – 09.03.2026).</p>"
,User Story,,Yetkinlik seçim altyapısı test edilip hazırlansın,,New,2,,,PY 2026; Şube & Saha; Çalışan,<p><b>Planlanan tarih:</b> 16.02.2026 – 09.03.2026</p>
,Task,,,Altyapı testleri (BT),New,2,,,PY 2026; Şube & Saha,
,Task,,,PYYM testleri,New,2,,,PY 2026; Şube & Saha,
,Task,,,Ortak yetkinliklerin belirlenmesi,New,2,,,PY 2026; Şube & Saha,
,Task,,,Bir önceki yılın atanan yetkinliklerinin pasife alınması (yetkinlik atama listeleme ekranı),New,2,,,PY 2026; Şube & Saha,
,Task,,,Değerlendiricilerin kontrolü,New,2,,,PY 2026; Şube & Saha,
,User Story,,Yetkinlik seçimi başlatılsın ve duyurulsun,,New,2,,,PY 2026; Şube & Saha; Çalışan,<p><b>Planlanan tarih:</b> 16.02.2026 – 09.03.2026</p>
,Task,,,"Duyuru içeriklerinin hazırlanması (mail, iyi ki, kılavuzlar)",New,2,,,PY 2026; Şube & Saha,
,Task,,,Esnek Seçim > Hazırla/Başlat aksiyonunun alınması,New,2,,,PY 2026; Şube & Saha,
,Task,,,Canlıda testlerin yapılması,New,2,,,PY 2026; Şube & Saha,
,Task,,,Duyuru içeriklerinin paylaşılması,New,2,,,PY 2026; Şube & Saha,
,User Story,,Yetkinlik seçimi takip edilsin,,New,2,,,PY 2026; Şube & Saha; Çalışan,<p><b>Planlanan tarih:</b> 16.02.2026 – 09.03.2026</p>
,Task,,,Yetkinlik seçimi durumu dashboard'unun hazırlanması,New,2,,,PY 2026; Şube & Saha,
,Task,,,Hatırlatma iletişimleri,New,2,,,PY 2026; Şube & Saha,
,Task,,,Periyodik olarak işe yeni girenlerin kontrolü ve yetkinlik seçme süreçlerinin takibi,New,2,,,PY 2026; Şube & Saha,
,User Story,,Yetkinlik seçimi kapatılıp mutabakata alınsın,,New,2,,,PY 2026; Şube & Saha; Çalışan,<p><b>Planlanan tarih:</b> 16.02.2026 – 09.03.2026</p>
,Task,,,Yetkinlik seçmeyenlere atanacak yetkinliklerin belirlenmesi ve atanması,New,2,,,PY 2026; Şube & Saha,
,Task,,,Onayda bekleyen yetkinliklerin otomatik olarak onaylanması,New,2,,,PY 2026; Şube & Saha,
,Task,,,Yetkinlik seçim sayısı kontrolü (çoklama vb.),New,2,,,PY 2026; Şube & Saha,
,Task,,,Yetkinlik süreç durumunun mutabakat durumuna çekilmesi,New,2,,,PY 2026; Şube & Saha,
,Epic,Hedef Belirleme Süreci,,,New,2,2026-03-10,2026-04-10,PY 2026,"<p>Tüm kurumda hedef girişinin başlatılması, kalite takibi ve mutabakata alınması. Kaynak: &quot;Hedef Belirleme Süreci&quot; (10.03 – 10.04.2026).</p>"
,User Story,,Hedef ekranları test edilip hazırlansın,,New,2,,,PY 2026; Genel Müdürlük; Çalışan,<p><b>Planlanan tarih:</b> 10.03.2026 – 10.04.2026</p>
